time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Social Studies,AS level and FSMQ,a to e,58,88
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Social Studies,AS level and FSMQ,a to e,85,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Spanish,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Spanish,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Spanish,AS level and FSMQ,Total pupil entries,4,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Spanish,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Spanish,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Spanish,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Spanish,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Spanish,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Spanish,AS level and FSMQ,a to e,4,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,FSMQ,Total pupil entries,3510,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,FSMQ,Total pupil entries,2063,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,FSMQ,Total pupil entries,5573,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,FSMQ,a to b,2331,66
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,FSMQ,a to b,1267,61
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,FSMQ,a to b,3598,65
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,FSMQ,a to e,3090,88
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,FSMQ,a to e,1791,87
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,FSMQ,a to e,4881,88
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,FSMQ,Total pupil entries,3510,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,FSMQ,Total pupil entries,2063,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,FSMQ,Total pupil entries,5573,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,FSMQ,a to b,2331,66
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,FSMQ,a to b,1267,61
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,FSMQ,a to b,3598,65
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,FSMQ,a to e,3090,88
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,FSMQ,a to e,1791,87
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,FSMQ,a to e,4881,88
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 1,262,88
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 1,341,92
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 1,603,90
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Ancient History,GCSE,9 to 1,194,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Ancient History,GCSE,9 to 1,48,100
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Ancient History,GCSE,9 to 1,242,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Ancient History,GCSE,9 to 1,611,91
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Ancient History,GCSE,9 to 1,506,93
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Ancient History,GCSE,9 to 1,1117,92
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Ancient History,GCSE,9 to 1,1,20
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Ancient History,GCSE,9 to 1,1,20
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Ancient History,GCSE,9 to 1,414,87
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Ancient History,GCSE,9 to 1,456,92
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Ancient History,GCSE,9 to 1,870,90
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Ancient History,GCSE,9 to 1,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Ancient History,GCSE,9 to 1,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Ancient History,GCSE,9 to 1,186,93
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Ancient History,GCSE,9 to 1,259,95
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Ancient History,GCSE,9 to 1,445,94
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Ancient History,GCSE,9 to 1,17,77
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Ancient History,GCSE,9 to 1,8,89
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Ancient History,GCSE,9 to 1,25,81
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Ancient History,GCSE,9 to 1,193,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Ancient History,GCSE,9 to 1,48,100
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Ancient History,GCSE,9 to 1,241,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Ancient History,GCSE,9 to 1,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Ancient History,GCSE,9 to 1,1,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Ancient History,GCSE,9 to 1,59,78
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Ancient History,GCSE,9 to 1,74,83
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Ancient History,GCSE,9 to 1,133,81
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Ancient History,GCSE,9 to 1,414,87
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Ancient History,GCSE,9 to 1,456,92
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Ancient History,GCSE,9 to 1,870,90
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Ancient History,GCSE,9 to 1,398,88
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Ancient History,GCSE,9 to 1,442,92
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Ancient History,GCSE,9 to 1,840,90
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Ancient History,GCSE,9 to 1,16,70
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Ancient History,GCSE,9 to 1,14,93
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Ancient History,GCSE,9 to 1,30,79
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Ancient History,GCSE,9 to 1,414,88
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Ancient History,GCSE,9 to 1,456,92
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Ancient History,GCSE,9 to 1,870,90
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Ancient History,GCSE,9 to 1,6,43
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Ancient History,GCSE,9 to 1,33,83
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Ancient History,GCSE,9 to 1,39,72
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Ancient History,GCSE,9 to 1,331,87
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Ancient History,GCSE,9 to 1,387,93
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Ancient History,GCSE,9 to 1,718,90
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Ancient History,GCSE,9 to 1,77,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Ancient History,GCSE,9 to 1,36,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Ancient History,GCSE,9 to 1,113,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 4,191,64
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 4,254,68
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Ancient History,GCSE,9 to 4,445,67
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Ancient History,GCSE,9 to 4,187,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Ancient History,GCSE,9 to 4,42,88
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Ancient History,GCSE,9 to 4,229,95
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Ancient History,GCSE,9 to 4,484,72
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Ancient History,GCSE,9 to 4,385,71
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Ancient History,GCSE,9 to 4,869,71
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Ancient History,GCSE,9 to 4,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Ancient History,GCSE,9 to 4,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Ancient History,GCSE,9 to 4,295,62
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Ancient History,GCSE,9 to 4,343,69
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Ancient History,GCSE,9 to 4,638,66
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Ancient History,GCSE,9 to 4,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Ancient History,GCSE,9 to 4,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Ancient History,GCSE,9 to 4,150,75
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Ancient History,GCSE,9 to 4,209,77
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Ancient History,GCSE,9 to 4,359,76
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Ancient History,GCSE,9 to 4,13,59
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Ancient History,GCSE,9 to 4,2,22
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Ancient History,GCSE,9 to 4,15,48
